Cloth_ID;Nome;Brand;Layer;Class;Category;Sub_c1_type;Sub_c2_lenght;Sub_c3_fit;Description_keywords;Owner;Color_code;Color_tint;Pattern;Size (IT);Measures;Image;Production_place;Material_maxPerc;Material_max_%;Material2;Material2_%;Material3;Material3_%;Cost;Style;Pesantezza;Inizio_vita;N_utilizzi_tot;N_utilizzi_(ultimo_mese);Ultimo_utilizzo
1;Dolcevita bianco;PiazzaItalia;3;Upper;Maglieria;Maglioni;Maniche_lunghe;Aderente;"collo alto; aderente;";Lei;#ffffff;Bianco;Tinta unita;"L (M=50; F=46)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=25df8913-bd51-4713-ade2-5a82ba03068d;Cina;Viscosa;80%;Nylon;17%;Elastan;3%; 12,99 € ;"Ufficio; Casual;";2;01.01.2020;108;4;20.11.2022
2;Minigonna tramata grigia;Protagonist;0;Lower;Gonne;Tubino;Mini;Aderente;"vita alta;";Lei;#9f9a87;Grigio;Tramato;"M (M=48; F=44)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=2a5aefc3-a31e-4f9d-a85c-d36e1b3740a0;Italia;Cupro;50%;Lana;30%;Seta;20%; 55,00 € ;"Ufficio; Elegante; Glamour;";3;01.01.2020;20;1;02.11.2022
3;Maglione giallo;Bershka;3;Upper;Maglieria;Maglioni;Maniche_lunghe;Aderente;"girocollo; aderente;";Lei;#fbbe37;Giallo;Tinta unita;"S (M=46; F=42)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=27b4fa72-71a9-454b-836f-026a403f3014;Bangladesh;Viscosa;80%;Nylon;20%;;; 19,99 € ;"Comfy; Ufficio; Casual;";3;01.01.2020;78;3;22.11.2022
4;Pantalone classico marrone;Elizabeth Ascot;0;Lower;Pantaloni;Pantalone;Lunghi;Normale;"vita alta; gamba a sigaretta;";Lei;#483a39;Marrone;Tinta unita;"M (M=48; F=44)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=ead96230-f114-458e-ae1c-9899f08497aa;Italia;Lana vergine;98%;Elastan;2%;;; 69,00 € ;"Ufficio; Casual; Vintage;";3;01.01.2020;140;4;23.11.2022
5;T-shirt colletto;Artigli;2;Upper;Top;Magliette;Maniche_corte;Aderente;"colletto; scollo a V con bottoncini; aderente;";Lei;#425a60;Blu;Tinta unita;"S (M=46; F=42)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=146240d9-677e-48bb-ab24-b9be0bec677a;Cina;Cotone;95%;Elastan;5%;;; 9,99 € ;Casual;1;01.01.2020;9;0;11.06.2020
6;Jeans grigi;Levis;0;Lower;Pantaloni;Jeans;Lunghi;Normale;"gamba a zampa;";Lei;;Grigio;Tinta unita;"XS (M=44; F=40)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=6b78b892-1863-40ec-b9ce-478595fc0d85;Turchia;Cotone;95%;Poliestere;5%;;; 51,50 € ;"Comfy; Ufficio; Casual;";3;01.01.2020;60;0;11.09.2022
7;Top elasticizzato nero;Pinko;2;Upper;Top;Body;Smanicato;Aderente;"cerniera sul retro; scollo quadrato;";Lei;#000000;Nero;Tinta unita;"S (M=46; F=42)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=fa2f41a4-be02-49ee-ba79-4db390cb7d68;Cina;Cotone;100%;;;;; 150,00 € ;Glamour;1;01.01.2020;54;1;21.11.2022
8;Camicia con fantasia;Zara;3;Upper;Camicie;Camicia;Maniche_lunghe;Morbido;"larga; inseti color oro;";Lei;;Multicolore;Paisley;"M (M=48; F=44)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=d3e9f688-3943-41b9-bee0-73c35bb5e802;Marocco;Poliestere;100%;;;;; 29,95 € ;"Ufficio; Elegante; Casual;";2;01.01.2020;36;2;24.11.2022
9;Giacca crop top beige;Zara;6;Capispalla;Outwear;Giacca;Corto;Normale;"Crop-top;";Lei;#f7e6b5;Beige;Tinta unita;"XS (M=44; F=40)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=e55b0c82-d5f5-4b2d-9967-154986ee0a1a;Birmania;Poliestere;70%;Cotone;30%;;; 45,95 € ;"Ufficio; Casual; Vintage;";2;01.01.2020;36;0;10.10.2022
10;Canottiera bianca;Creazioni Natalia;2;Upper;Top;Canottiere;Smanicato;;spalla larga;Lei;#ffffff;Bianco;Tinta unita;"M (M=48; F=44)";;;Marocco;Nylon;94%;Elastan;6%;;; 9,99 € ;"Comfy; Casual; Sport";1;01.01.2020;50;1;01.11.2022
11;Maglietta tecnica nera;Decathlon;2;Upper;Top;Magliette;Maniche_corte;Morbido;"Maglia tecnica;";Lei;#000000;Nero;Tinta unita;"M (M=48; F=44)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=67987954-09ae-4252-a3cc-972d06b13387;Bangladesh;Poliestere;34%;Cotone;32%;Lyocell;30%; 12,99 € ;"Comfy; Sport";1;01.01.2020;10;0;02.09.2022
12;Giacca di pelle;MNG;6;Capispalla;Outwear;GiaccaDiPelle;Regular;Normale;"chiodo; crop;";Lei;#000000;Nero;Tinta unita;"M (M=48; F=44)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=9eb57ec1-6028-40a7-8d36-bb240d926ff8;India;Poliestere;100%;;;;; 119,90 € ;"Comfy; Ufficio; Elegante; Glamour; Casual;";3;01.01.2020;90;5;21.11.2022
13;Maglioncino beige;Pimkie;4;Upper;Maglieria;Maglioni;Maniche_lunghe;Normale;"crop;";Lei;#e4cfaf;Beige;Tinta unita;"M (M=48; F=44)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=b843dc4d-e2b7-48ae-9a1b-da548d238b05;Cina;Acrilico;60%;Poliestere;31%;Lana;5%; 17,99 € ;"Comfy; Casual;";3;01.01.2020;60;2;23.11.2022
14;Jeans aderenti;New Denim;0;Lower;Pantaloni;Jeans;Lunghi;Aderente;"vita alta;";Lei;;Jeans;Tinta unita;"M (M=48; F=44)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=b6e32f0c-fc2e-48f7-a411-34b89e521184;Cina;Cotone;97%;Elastan;3%;;; 49,99 € ;"Ufficio; Glamour; Casual;";3;01.01.2020;81;3;05.11.2022
15;Pinocchietti neri a sacco con cintura;Stradivarius;0;Lower;Pantaloni;Pantalone;Pinocchietto;Morbido;"leggeri; a sacco; cintura: larghi;";Lei;#000000;Nero;Tinta unita;"M (M=48; F=44)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=797f6538-6ae4-4a4a-bf22-3d7b6a63e2fc;Spagna;Poliestere;100%;;;;; 19,99 € ;"Comfy; Ufficio; Casual;";2;01.01.2020;210;0;03.09.2022
16;Gonna a scacchi;-;0;Lower;Gonne;Dritta;Midi;Morbido;"tessuto pesante; cintura;";Lei;#9a6e55;Marrone;Tartan;"M (M=48; F=44)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=f3998e35-4288-4860-b821-a90bc20aa4b4;Italia;Poliestere;95%;Elastan;5%;;; 22,50 € ;"Comfy; Ufficio; Elegante; Casual; Vintage;";3;01.01.2020;24;0;27.12.2021
17;Pantalone classico beige;Stradivarius;0;Lower;Pantaloni;Pantalone;Lunghi;Normale;"vita alta; gamba a sigaretta;";Lei;#f3d8ba;Beige;Tinta unita;"L (M=50; F=46)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=fa1d8f3c-c413-43a0-b4ad-6952ca578deb;Cambogia;Cotone;55%;Poliestere;43%;Elastan;2%; 29,99 € ;"Ufficio; Elegante; Casual;";2;01.01.2020;97;2;24.11.2022
18;Blusa pois;Desigual;3;Upper;Camicie;Bluse;Maniche_lunghe;Morbido;"bottini; ricamata";Lei;;Multicolore;Pois;"XL (M=52; F=48)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=3848c10a-8d2c-42f7-94eb-7adae2d54558;Cina;Poliestere;100%;;;;; 44,97 € ;"Ufficio; Elegante; Casual;";2;01.01.2020;36;2;05.11.2022
19;Giacca scamosciata;Jennyfer;6;Capispalla;Outwear;GiaccaDiPelle;Corto;Normale;"tessuto scamosciato; cintura";Lei;#a57232;Marrone;Tinta unita;"XL (M=52; F=48)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=72ab9f5f-1611-4f7a-b99e-3f92e38d1b20;Birmania;Poliestere;98%;Elastan;2%;;; 25,99 € ;"Ufficio; Elegante; Casual; Vintage;";3;01.01.2020;120;6;24.11.2022
20;Vestito fantasia;Alesya;1;Intero;Abiti;Svasato;Midi;Morbido;"tessuto pesante;";Lei;;Multicolore;Floreale;"L (M=50; F=46)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=c261577d-2e36-48be-aef1-b93582fd1afa;Italia;Poliestere;100%;;;;; 44,99 € ;"Ufficio; Cerimonia; Elegante; Casual; Vintage;";3;01.01.2020;40;2;27.11.2022
21;Jeans con dettaglio cerniere;Bershka;0;Lower;Pantaloni;Jeans;Lunghi;Aderente;"dettaglio cerniere; vita alta";Lei;#b6c8ce;Jeans;Tinta unita;"L (M=50; F=46)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=d93b79fe-3338-4860-b844-df2e4f96f71d;Pakistan;Cotone;98%;Elastan;2%;;; 22,99 € ;"Comfy; Casual;";3;01.01.2020;90;3;17.11.2022
22;Mom jeans;Zara;0;Lower;Pantaloni;Jeans;Lunghi;Morbido;"tessuto pesante;";Lei;;Jeans;Tinta unita;"XXS (M=42; F=38)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=a6cf4b89-94b5-4309-a5b5-d1feeb17c334;Turchia;Cotone;100%;;;;; 29,95 € ;"Comfy; Casual;";3;01.01.2020;378;7;11.11.2022
23;Jeans a zampa neri;Levis;0;Lower;Pantaloni;Jeans;Lunghi;Normale;"Pantaloni a zampa;";Lei;#000000;Nero;Tinta unita;"XXS (M=42; F=38)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=6bf173e0-78b2-49f4-9f26-75bf46d8533e;Turchia;Cotone;62%;Viscosa;28%;Elastan;2%; 89,00 € ;"Ufficio; Glamour; Casual;";3;01.01.2020;140;5;28.11.2022
24;Maglietta collo alto bordeaux;Benetton;2;Upper;Top;Magliette;Maniche_lunghe;Aderente;aderente;Lei;#8F2929;Rosso;Tinta unita;"M (M=48; F=44)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=329581ca-6912-4e82-a279-775dd806a383;Italia;Viscosa;92%;Elastan;8%;;; 22,95 € ;"Comfy; Ufficio; Casual; ";2;01.01.2020;75;3;30.11.2022
25;Maglioncino nero;Coveri Moving;3;Upper;Maglieria;Maglioni;Maniche_lunghe;Aderente;"aderente; due tasche anteriori";Lei;#000000;Nero;Tinta unita;"L (M=50; F=46)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=7d68fed8-9a76-41fe-9efa-7ee7790eaf13;Italia;Viscosa;56%;Poliestere;27%;Poliimmide;17%; 39,99 € ;"Comfy; Ufficio; Casual;";3;01.01.2020;50;2;11.11.2022
26;Scaldacuore verde;Zara;5;Upper;Maglieria;Maglioni;Maniche_lunghe;Normale;da allacciare;Lei;#88a58a;Verde;Tinta unita;"S (M=46; F=42)";;https://polimi365-my.sharepoint.com/personal/10653387_polimi_it/_layouts/15/embed.aspx?UniqueId=a46e3627-9bbc-47df-a627-35e8b25f49bb;Turchia;Acrilico;46%;Poliestere;33%;Poliimmide;10%; 25,95 € ;"Comfy; Ufficio; Casual;";3;01.01.2020;24;2;26.11.2022
27;Camicia con fantasia;Derek Heart;3;Upper;Camicie;Camicia;Maniche_lunghe;;trasparente;Lei;#000000;Nero;Floreale;"S (M=46; F=42)";;;Bangladesh;Poliestere;100%;;;;; 13,66 € ;Glamour;2;01.01.2020;10;0;30.10.2022
28;Blusa nera;Camaïeu;3;Upper;Camicie;Bluse;Maniche_lunghe;;leggeri;Lei;#000000;Nero;Tinta unita;"S (M=46; F=42)";;;Cina;Poliestere;98%;Elastan;2%;;; 6,95 € ;Ufficio;2;01.01.2020;85;3;17.11.2022
29;Canottiera nera;Kiabi;2;Upper;Top;Canottiere;Smanicato;;"spalline strette; scollo a v";Lei;#000000;Nero;Tinta unita;"M (M=48; F=44)";;;Cina;Poliestere;100%;;;;; 3,00 € ;"Ufficio; Elegante; Glamour; Casual;";1;01.01.2020;200;2;26.11.2022
30;Canottiera nera;Tally Weijl;2;Upper;Top;Canottiere;Smanicato;;spalline larghe;Lei;#000000;Nero;Tinta unita;"XS (M=44; F=40)";;;India;Poliestere;100%;;;;; 6,99 € ;"Comfy; Ufficio; Elegante; Glamour; Casual; Sport";1;01.01.2020;98;0;30.07.2022
31;Body manica lunga;H&M Divided;2;Upper;Top;Body;Maniche_lunghe;;ampio scollo sulla schiena;Lei;#000000;Nero;Tinta unita;"L (M=50; F=46)";;;Turchia;Cotone;95%;Elastan;5%;;; 16,99 € ;Casual;2;01.01.2020;45;1;14.11.2022
32;Gonna asimmetrica;Zuiki;0;Lower;Gonne;Asimmetrica;Midi;Morbido;finta pelle morbida;Lei;#000000;Nero;Tinta unita;"M (M=48; F=44)";;;Italia;Poliestere;95%;Elastan;5%;;; 10,00 € ;Casual;2;01.01.2020;65;2;21.11.2022
33;Vestito grigio;OVS;1;Intero;Abiti;Tubino;Midi;;scollo asimmetrico;Lei;;Grigio;Tinta unita;"XL (M=52; F=48)";;;Cina;Poliestere;7%;Viscosa;23%;Elastan;8%; 25,99 € ;"Ufficio; Elegante;";;01.01.2020;15;0;20.09.2022
34;Blusa bianca;Zara;3;Upper;Camicie;Bluse;Maniche_corte;;con balza;Lei;#ffffff;Bianco;Tinta unita;"XS (M=44; F=40)";;;Turchia;Poliestere;100%;;;;; 39,95 € ;"Ufficio; Elegante; Glamour; Casual;";1;01.01.2020;67;1;06.11.2022
35;Vestito anni '60;H&M;1;Intero;Abiti;Tubino;Mini;;maniche lunghe;Lei;#ffffff;Bianco;Stampa;"M (M=48; F=44)";;;Vietnam;Poliestere;100%;;;;; 19,99 € ;"Ufficio; Casual; Vintage;";;01.01.2020;34;0;13.10.2022
TOT;;;;35;35;35;35;;35;35;28;35;35;35;0;25;35;35;35;23;23;9;9; 34,80 € ;35;33;;;;
